,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,total_of_special_requests,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,reserved_room_type_L,reserved_room_type_P,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
is_canceled,1.0,0.29317738436436763,0.008131990729401564,-0.0017833819860148755,0.02477143415915632,0.0599902663091216,0.005047790029269149,-0.0847879487554316,0.11014047092847529,-0.057355365183331584,-0.14437057249513174,0.05419314550317287,0.04762222477729945,-0.23470590167616248,-0.13650527083679134,0.03883246781825314,-0.019829301857746527,0.0012956055249853911,-0.02589284174304973,-0.008771358203799335,-0.00733314891790947,-0.047684074639046406,-0.03862470507476806,-0.021759672531117224,-0.0016658681384944436,0.005488045396809052,-0.0005440894532886281,0.013071851348406195,0.4814881216828731,-0.011310399662664403,-0.03869560539011666,0.13317013575828587,-0.12423063937286653
lead_time,0.29317738436436763,1.0,0.12688482040108856,0.08566711222294293,0.16579947426614616,0.11954431712972137,-0.03762167759160052,-0.12441759061911223,0.08603983848673073,-0.07355217969099938,0.00013809652321638579,0.17008260374907433,-0.06312599543678012,-0.09568782746175925,-0.07540499564984121,0.009712006125929262,0.1366235387780268,-0.09762817850681188,-0.015515540959637643,0.008763517847375049,-0.01978930332188094,-0.07040302243315971,-0.029034042516021066,-0.05236699269310138,-0.02971612365772304,-0.01705805149273388,-0.006900463647875511,-0.009758974522013387,0.38017366375152467,0.016586288902840876,-0.03192689787977178,-0.17402568168455096,0.15962206083111932
arrival_date_week_number,0.008131990729401564,0.12688482040108856,1.0,0.018209371989142707,0.015559321929015614,0.025901318257361652,0.005518418938605083,-0.030128572380440498,0.035502291169731484,-0.020902457407203045,0.00551177198467352,0.022934739374536106,0.07581110263030945,0.02613935173569875,-0.001260833193980513,0.02139247136120516,0.03836368206313439,-0.04039481508548617,-0.027428492068511025,0.007371484483903078,0.005276020010477141,-0.01019441913613785,-0.008071741807991037,0.0026486567048000413,-0.0021269738213071736,0.005339801475355889,0.0013904074986176719,0.0031331940796021957,0.007777281346660508,-0.016887240702687163,0.011618529303763395,-0.07952607160941652,0.04219149596310505
stays_in_weekend_nights,-0.0017833819860148755,0.08566711222294293,0.018209371989142707,1.0,0.4989672392050023,0.09188860961732441,0.04579293740385516,-0.0872415625770042,-0.01277539028449264,-0.04271630246131217,0.06328018213008418,-0.054152569467586543,0.049323278965926004,0.07268599941936457,0.18659519837482824,0.01747613732808051,0.10524258075098754,-0.03504681328844654,0.022201379290652072,0.0031099977278732918,0.032830246051830894,0.0937029499650577,0.09219024044007568,0.017701393296279733,0.03684270101879045,0.012386274842522004,-0.005402085057110028,-0.005966543674387049,-0.11427921422193303,0.001760894804041576,-0.007163341934058965,0.019475392365955267,-0.06491356766564294
stays_in_week_nights,0.02477143415915632,0.16579947426614616,0.015559321929015614,0.4989672392050023,1.0,0.0929833728931279,0.044202918913249574,-0.0972472777413469,-0.013993096092380062,-0.04874368752628363,0.09620957990260938,-0.002020420660389134,0.06521944705168572,0.06819912535059952,0.2340220200906713,0.015285365269828387,0.12144664350467986,-0.06303326789137344,0.032146125874814906,-0.0031658534842344383,0.04053321569802254,0.11268793535179876,0.1146892137089004,0.014736595932494215,0.041440926619990846,0.015958886949322522,-0.005573762750221235,-0.008320525670249644,-0.08000169547671171,0.006790636125669146,-0.01618228488164875,0.0072916354370862555,-0.06427709654776109
adults,0.0599902663091216,0.11954431712972137,0.025901318257361652,0.09188860961732441,0.0929833728931279,1.0,0.030446848795788364,-0.14642456642176313,-0.0067358635166150805,-0.10798294934933268,-0.051666038832536135,-0.008280488031565194,0.23069002100132788,0.12285460102768943,0.013199287658513964,0.01448102611480338,0.04905937064788323,-0.003325645457245046,-0.005598026375901694,-0.04843119414556831,0.028070196000709268,0.175724593074249,0.05145927945250589,0.03702956746137762,0.05108106794716988,0.10508341591423191,0.0037974001154070084,-0.032131625408451894,-0.028971993772309707,0.003246534740024223,0.05897813366814482,0.09105140481724722,-0.11581368672881293
children,0.005047790029269149,-0.03762167759160052,0.005518418938605083,0.04579293740385516,0.044202918913249574,0.030446848795788364,1.0,-0.03285938207278014,-0.024730099330321255,-0.021072490313609357,0.04894888847371924,-0.03327261593658072,0.3248536049962062,0.08174482206816508,0.044204561134749396,-0.0012648756427839339,0.015743991596335417,-0.06778951542121399,-0.013755108454284098,0.10935144299639567,0.25984974878745715,-0.06937913467127224,-0.007291568521247586,0.36658724295667644,0.39279144078678485,0.1563644964089349,-0.00184794786453077,-0.0026134586091931047,-0.09667126347433909,-0.006753951857178179,-0.006649961599572311,0.09613478481541887,-0.09284617315359649
is_repeated_guest,-0.0847879487554316,-0.12441759061911223,-0.030128572380440498,-0.0872415625770042,-0.0972472777413469,-0.14642456642176313,-0.03285938207278014,1.0,0.08229266668240479,0.4180557275635716,0.012089755163282484,-0.022235786604174548,-0.13432845735356758,0.013055448533649582,0.05041687700045962,-0.009630406351396167,-0.040244980816218356,-0.03843175751945407,-0.002568201698878695,-0.011177562744297166,-0.0014853524362037959,-0.031620508862179514,-0.004934398614106297,-0.008192416595910733,-0.0006630361975450058,-0.004834556736808259,-0.0012871776666232167,-0.0018203898599983795,-0.05842541328636587,-0.0015145587352369647,0.09797640268983787,0.02347764460269588,-0.030241413280566936
previous_cancellations,0.11014047092847529,0.08603983848673073,0.035502291169731484,-0.01277539028449264,-0.013993096092380062,-0.0067358635166150805,-0.024730099330321255,0.08229266668240479,1.0,0.1527278470365157,-0.026993891260727938,0.005928487609333426,-0.06565315282283503,-0.0483820035047743,0.012289343951001409,0.14384103545524318,0.01459253616188254,-0.02835880586523818,-0.002603722000248519,-0.004338980882198861,-0.008250626754225217,-0.03755626155539806,-0.019160138550839378,-0.014015213080083392,-0.010007967201832052,-0.006918828228792717,0.0006678927782075775,-0.0010345144500803415,0.14331315279354226,-0.0038034391677984297,-0.004186679560352343,-0.026532198422802394,0.015151285094487942
previous_bookings_not_canceled,-0.057355365183331584,-0.07355217969099938,-0.020902457407203045,-0.04271630246131217,-0.04874368752628363,-0.10798294934933268,-0.021072490313609357,0.4180557275635716,0.1527278470365157,1.0,0.011606512969400852,-0.009397386592246862,-0.07215140593841873,0.03782706023121989,0.004438973258805063,-0.006068913115387788,-0.028523874391014305,-0.024257671340243852,-0.008479616649027688,-0.005278597826709697,-0.006341626725814377,-0.02391205329546861,0.0002715224481514456,-0.006804495163702006,-0.001324804858252014,-0.0058801625358958455,0.0009290206812424398,-0.0009179606258895459,-0.03151064328572843,-0.0029190674289901624,0.021284352803078027,0.0305362023134479,-0.028599227982674374
